1000 3453
0 294 3093
0 303 3855
0 420 2567
0 593 4699
0 824 4611
0 952 2321
1 6 29399
1 122 3260
1 200 3679
2 459 5956
2 690 5836
2 83 17685
3 112 4908
3 389 3045
4 137 4949
4 210 4001
4 321 3515
4 322 3099
4 412 1833
5 139 3211
5 140 5318
5 659 5165
5 778 4291
6 85 5062
6 419 5649
6 781 3061
6 868 3631
7 185 4445
7 718 2412
7 827 3321
8 629 2184
8 683 1433
8 750 4228
8 852 5276
8 978 1773
9 483 4380
10 29 2616
10 358 2017
10 536 1291
10 215 5064
11 246 1978
11 267 546
11 299 4036
11 308 2815
11 919 3806
12 371 2862
12 730 3351
12 811 2549
13 356 1239
13 366 8276
13 567 4763
13 646 4378
14 430 2672
14 644 2588
14 660 5302
14 749 3182
15 553 4508
15 714 1267
15 996 2768
16 270 5445
16 663 4042
17 232 4317
17 480 1152
17 769 3219
18 217 4466
18 868 3842
18 986 1141
19 886 5039
19 906 5451
19 975 2251
20 485 4736
20 951 3181
21 179 4238
21 181 4539
21 554 4941
21 570 4963
21 574 4465
21 820 2367
22 313 5792
22 581 5278
22 689 4432
23 494 5350
24 52 2386
24 161 3061
24 638 792
24 499 1053
25 510 2668
26 913 681
27 60 3233
27 398 2297
27 712 715
27 757 3183
27 912 4095
27 476 1648
28 10 4144
28 215 5458
28 358 5154
29 22 6903
29 28 1893
29 313 5007
29 668 5907
29 689 5519
29 792 556
30 253 5825
30 415 4427
30 466 3583
30 235 4798
31 348 2324
31 359 526
31 426 4106
31 810 3940
31 916 3624
32 34 1172
32 118 2499
32 405 1288
32 562 4100
32 909 3955
33 148 5659
33 216 4094
33 880 4172
34 424 2906
34 520 2704
34 909 3675
35 102 1642
35 242 6447
35 274 5840
35 735 5957
36 284 6274
36 539 7453
36 834 4124
36 923 6000
37 122 3775
37 238 3107
38 531 2968
38 689 5556
38 998 2867
39 127 2583
39 981 2363
40 380 1390
40 392 2400
40 783 3935
40 826 3536
41 137 2659
41 367 3269
41 700 583
41 726 1050
41 841 4033
42 309 4982
42 324 1210
42 427 1640
42 625 3368
43 178 3609
43 240 2239
43 403 3963
43 546 3898
43 603 2426
44 7 5236
44 404 1701
44 692 5615
45 324 5494
45 461 3420
45 548 6578
46 458 5072
46 965 6725
46 798 3401
47 39 5256
47 127 3139
47 300 2622
47 557 2584
47 964 3880
48 456 4009
48 480 2368
48 963 5943
49 46 4460
49 22 34324
49 458 6262
50 86 6059
50 512 4310
50 564 5644
50 585 6013
50 946 4745
50 375 6990
51 68 5790
51 123 5745
51 724 4054
52 499 1493
53 132 1849
53 352 1895
53 365 5310
53 995 6028
54 26 3159
54 107 4876
55 646 1504
55 822 2497
55 955 2741
55 971 1582
56 24 4213
56 437 884
56 676 4738
56 772 7777
57 472 5639
57 541 2351
57 720 3584
57 823 7834
58 317 3331
58 600 4262
58 910 4621
59 338 5882
59 339 1787
59 400 3313
60 637 1806
61 296 3271
61 517 2960
61 630 2795
61 704 2683
61 816 3922
62 77 5733
62 198 3973
62 777 869
62 785 3568
62 983 938
63 456 4189
63 532 489
63 789 3929
63 920 4547
64 22 6935
64 78 5878
64 265 7269
65 96 5473
65 175 5068
65 418 4464
65 650 2328
66 320 3609
66 438 3533
66 448 3439
66 454 3735
66 485 4885
66 905 3016
66 913 4116
67 92 2036
67 340 1782
69 156 4564
69 168 4936
69 465 2035
69 527 4254
69 898 726
70 58 3947
70 315 3553
70 317 1992
70 793 3382
71 141 4342
71 484 5081
71 915 5555
72 527 1476
72 535 4291
73 68 3242
73 378 3119
73 685 4932
73 724 6098
73 993 2059
74 204 2010
74 319 2465
74 701 3970
75 642 3011
75 752 4495
75 877 4350
75 918 3745
75 270 4542
76 176 4665
76 346 3615
76 462 3400
77 716 2439
77 785 2189
77 399 6144
78 199 2583
78 334 5003
79 449 1880
80 42 5182
80 183 4011
80 309 1583
80 324 5460
80 461 5146
80 521 5111
80 548 3176
80 817 5525
81 272 1455
81 316 3392
81 501 4759
81 920 3823
82 23 5709
82 97 4527
82 444 7867
82 486 2826
82 640 5535
82 748 2709
82 947 902
82 327 11942
83 439 2786
83 601 3584
83 888 3909
83 912 2403
84 74 2872
84 143 272
84 204 1677
84 282 2658
84 422 2374
84 701 1229
85 40 2124
85 380 3298
85 392 4430
87 190 1933
87 211 3306
87 354 2726
87 586 3819
88 137 4004
88 261 4200
88 367 2578
88 379 3183
88 700 4677
90 180 3740
90 388 1445
90 408 1502
90 607 2283
91 689 6569
92 152 4557
92 249 1297
93 65 3546
93 508 2279
93 641 6384
94 97 3040
94 169 3658
94 444 5609
94 640 3312
94 947 3140
95 706 6003
95 773 3738
95 831 1973
95 957 3047
95 972 4357
95 881 5067
96 285 1264
96 234 4426
97 640 2636
97 968 2667
98 135 3688
98 258 5211
98 377 2988
98 568 1472
98 786 5519
99 338 4841
99 529 388
99 865 2761
100 43 23854
100 197 5681
100 752 5772
100 908 4343
101 276 3901
101 758 2415
101 999 6063
102 735 5353
102 410 5937
103 4 4981
103 298 3190
103 321 2265
103 560 3644
103 733 3994
103 736 1295
104 277 4458
104 385 4606
104 595 2243
104 645 1820
104 928 2469
104 307 1695
105 506 4658
105 695 5056
105 969 3486
105 970 5980
106 24 3670
106 52 1319
106 855 5251
107 653 3696
107 818 2647
109 61 4313
109 186 2741
109 470 4493
109 711 4742
110 45 1507
110 461 2212
110 804 5640
111 251 2463
111 610 7182
111 914 1606
111 980 6660
112 9 3531
112 744 1702
112 794 4309
112 814 2826
114 171 2572
114 234 2356
114 285 5365
114 386 1972
114 679 4769
115 770 5266
115 839 659
115 870 4125
115 903 2058
116 313 5640
116 778 2209
117 115 2901
117 210 4544
117 322 3789
117 333 654
117 369 870
117 623 3426
117 903 3284
118 135 4579
118 278 4340
118 424 740
119 485 4872
119 951 1937
120 85 4552
120 222 3510
120 380 1342
121 849 2629
122 220 3123
122 708 2526
123 101 10108
123 388 4136
123 417 2314
123 878 5159
123 999 5448
124 57 4476
124 75 5291
124 642 5006
