50 989
0 2 8
0 3 12
0 5 6
0 6 9
0 7 7
0 8 9
0 9 1
0 10 8
0 11 12
0 13 1
0 15 11
0 16 11
0 17 3
0 18 3
0 19 8
0 20 12
0 23 4
0 24 14
0 25 12
0 26 3
0 27 2
0 28 14
0 29 2
0 30 10
0 32 14
0 33 14
0 34 13
0 35 13
0 36 14
0 37 9
0 38 7
0 39 14
0 40 9
0 41 14
0 43 1
0 44 9
0 45 13
0 46 4
0 48 10
0 49 8
1 2 10
1 3 7
1 4 11
1 5 1
1 7 7
1 8 10
1 9 6
1 10 7
1 11 6
1 12 5
1 13 12
1 14 11
1 16 8
1 17 3
1 19 10
1 20 4
1 21 5
1 23 9
1 24 4
1 25 1
1 27 8
1 28 7
1 29 13
1 30 6
1 31 5
1 32 1
1 33 4
1 34 9
1 35 6
1 36 2
1 38 3
1 39 4
1 41 9
1 42 6
1 43 7
1 44 7
1 45 5
1 46 6
1 48 14
1 49 5
2 3 9
2 4 5
2 5 6
2 6 6
2 7 8
2 8 14
2 9 8
2 10 14
2 12 11
2 13 6
2 16 7
2 17 11
2 18 3
2 19 5
2 20 4
2 21 4
2 22 7
2 23 10
2 24 9
2 25 5
2 26 2
2 27 14
2 28 12
2 29 13
2 31 5
2 32 6
2 33 14
2 36 3
2 37 1
2 38 8
2 39 10
2 41 3
2 42 5
2 43 8
2 44 7
2 45 4
2 49 1
3 4 9
3 5 1
3 7 8
3 8 10
3 9 4
3 10 12
3 12 5
3 13 8
3 14 10
3 15 13
3 17 2
3 18 2
3 19 11
3 20 4
3 21 2
3 22 10
3 23 6
3 24 7
3 25 11
3 26 3
3 27 7
3 28 12
3 31 4
3 33 3
3 34 8
3 35 11
3 36 3
3 37 4
3 38 5
3 39 3
3 40 7
3 42 2
3 43 12
3 44 8
3 47 8
3 48 5
3 49 4
4 5 6
4 6 1
4 8 10
4 9 14
4 10 2
4 11 4
4 12 10
4 14 1
4 15 12
4 16 4
4 19 2
4 20 3
4 22 5
4 23 9
4 24 11
4 25 1
4 26 10
4 27 11
4 28 10
4 30 3
4 32 10
4 33 12
4 34 5
4 35 13
4 36 3
4 37 10
4 38 13
4 39 13
4 40 8
4 42 7
4 43 4
4 44 12
4 46 13
4 47 9
4 48 5
4 49 7
5 6 11
5 7 1
5 8 10
5 10 11
5 12 11
5 13 13
5 14 10
5 17 6
5 18 13
5 19 5
5 20 11
5 22 4
5 23 9
5 24 8
5 25 1
5 26 1
5 27 13
5 28 12
5 29 5
5 31 11
5 32 11
