500 1636
0 317 164
1 0 48298
1 4 70
1 250 133
1 2 9361
2 126 140
2 211 32
2 217 70
2 218 270
2 19 42760
3 1 31321
3 47 280
3 128 53
3 255 188
4 36 143
4 215 96
4 225 56
4 17 23177
5 127 274
5 163 206
6 3 92838
6 81 140
6 131 199
6 159 127
6 412 127
6 448 131
6 11 85575
6 18 63485
7 4 26225
7 108 108
7 188 196
7 242 149
7 294 135
7 9 50861
8 48 211
8 75 58
8 333 93
8 418 202
8 463 65
8 53 107513
9 95 150
9 135 153
9 144 84
9 205 81
9 287 186
9 329 100
9 482 155
10 1 34171
10 62 306
10 138 221
10 195 149
10 277 179
10 360 294
10 449 40
11 60 133
11 76 81
11 91 214
11 455 82
11 13 65340
12 0 149
12 52 323
12 127 24
12 194 275
12 354 236
13 102 120
13 125 143
13 129 41
13 264 169
13 462 69
14 86 372
14 256 246
14 324 314
15 123 115
15 129 144
15 148 112
15 365 54
16 459 60
17 38 225
17 369 237
18 337 167
18 439 74
19 220 64
19 481 23
19 485 333
20 255 176
20 258 82
21 9 217
21 40 283
21 287 97
21 319 158
21 329 186
22 9 204
22 21 44
22 144 218
22 205 140
22 319 125
23 216 171
23 288 152
24 385 159
24 434 129
25 1 63577
25 219 80
25 313 121
25 327 93
26 24 178
26 408 267
27 19 46001
27 90 156
27 204 215
27 240 206
29 313 135
29 405 136
30 0 37079
30 209 32
30 244 149
30 247 142
31 208 143
32 61 78
32 69 130
32 288 140
33 17 56382
33 82 186
33 370 187
33 376 142
33 446 191
33 34 45221
34 44 223
34 430 156
35 250 208
35 280 223
35 316 169
35 374 295
36 170 211
36 215 54
36 304 108
37 75 134
37 159 162
37 285 48
37 338 162
37 406 158
37 412 179
38 24 107
38 26 269
38 369 12
39 34 156
39 44 77
39 93 158
39 186 162
39 253 223
39 270 37
39 345 81
39 473 187
40 416 78
41 244 164
41 308 14
41 395 64
42 108 44
42 188 123
42 235 8
42 242 106
42 294 32
43 113 79
43 118 117
44 93 87
44 270 46
44 345 112
44 473 114
44 490 227
45 13 68735
45 179 242
45 300 149
46 20 77
46 305 88
46 312 35
47 255 300
47 368 124
47 450 318
48 341 126
48 388 68
49 33 219
49 322 153
50 35 83
50 177 45
51 110 134
51 288 23
51 328 140
52 5 28
52 127 300
52 163 217
52 167 235
52 317 368
53 153 94
54 41 131
54 308 143
55 119 194
55 158 155
55 196 122
55 385 181
56 53 140
56 494 191
57 132 111
57 142 149
57 154 139
57 340 143
57 350 106
57 397 37
58 269 149
58 449 221
59 31 57
59 208 87
60 76 84
60 101 87
60 373 97
60 457 70
61 23 49
61 267 41
62 227 286
62 290 173
63 189 285
63 193 164
64 86 55
64 261 143
64 297 13
64 324 115
64 330 172
64 334 182
65 104 107
65 149 14
65 318 35
65 438 117
66 5 378
66 167 146
66 467 105
66 484 26
67 342 65
68 126 203
68 217 27
68 243 101
68 421 95
69 216 65
69 267 176
69 288 147
69 425 169
69 476 78
70 106 88
70 314 31
71 33 111
71 303 35
71 376 236
71 446 112
72 169 51
72 194 100
72 358 73
72 409 115
73 18 85
73 180 121
73 337 121
73 387 53
75 285 145
76 31 235
76 92 216
76 208 100
76 457 47
77 45 136
77 241 289
78 26 199
78 160 70
78 385 125
78 437 35
79 204 190
79 207 136
80 172 58
80 209 124
80 244 53
80 402 156
80 431 92
81 37 148
82 268 156
82 322 138
82 325 145
82 357 244
82 384 184
83 156 155
84 111 67
84 115 139
84 162 112
85 15 96
85 364 108
85 499 115
86 261 127
87 65 65
87 198 96
87 438 126
87 445 118
87 460 113
88 77 43
88 241 251
88 300 159
89 25 131
89 28 76
89 200 54
89 342 119
90 79 172
90 279 134
90 359 227
90 497 42
91 31 21
91 59 44
92 60 141
92 262 37
92 475 82
93 114 109
93 186 199
93 221 137
93 404 118
93 490 217
94 9 104
94 175 103
94 191 246
94 310 244
94 329 176
94 482 65
95 94 56
95 144 136
95 246 135
96 86 152
96 330 73
96 429 263
97 147 56
97 234 263
97 309 77
98 179 82
98 185 108
98 229 65
98 238 80
98 367 188
99 13 28
99 123 42
100 360 108
100 449 261
101 11 50
101 373 10
102 99 118
102 499 141
103 41 108
103 54 49
103 308 122
103 321 112
104 318 123
104 438 198
105 413 121
106 168 163
106 296 103
106 486 109
106 494 35
107 74 131
107 180 125
107 192 122
107 202 216
107 273 143
107 440 130
107 452 106
107 469 4
107 480 66
108 235 37
108 294 57
109 454 248
109 458 81
110 76 115
110 92 207
110 288 138
111 162 124
111 388 181
111 487 133
112 227 174
112 269 132
112 343 151
112 360 301
112 449 287
113 118 162
113 207 161
113 240 70
114 230 112
115 8 115
115 341 14
115 463 129
116 128 96
116 371 53
117 70 70
117 106 112
117 212 108
117 314 98
117 494 136
118 79 166
118 184 113
118 204 116
118 207 31
118 240 104
119 143 58
119 196 137
119 434 101
120 191 57
121 33 196
121 370 213
121 376 248
121 451 151
122 124 451
122 252 326
122 485 215
123 13 71
123 85 114
123 102 126
123 148 102
123 462 50
123 472 122
124 19 167
124 105 410
124 272 212
125 85 60
126 217 182
126 372 141
127 0 167
127 354 217
128 450 74
129 99 13
129 123 29
129 125 102
129 364 199
129 417 165
130 40 122
130 232 284
130 310 293
130 411 69
130 416 75
131 81 80
131 285 57
132 142 225
132 311 81
132 397 74
132 405 85
133 182 82
133 345 195
133 380 34
134 35 184
134 189 143
135 329 122
135 482 207
136 80 138
136 172 126
136 247 101
136 403 105
136 489 133
137 158 35
137 396 104
137 437 115
138 423 130
138 468 128
139 268 93
139 325 81
139 384 137
140 103 149
140 308 34
140 395 111
141 142 107
141 154 36
141 435 211
142 154 82
142 350 154
142 397 167
143 196 89
143 298 191
143 369 254
143 434 115
144 94 120
144 319 95
144 456 184
145 152 179
145 178 148
145 461 202
146 190 131
146 286 107
146 453 168
147 289 238
147 363 65
147 378 224
148 85 26
148 417 109
148 499 123
149 104 95
149 318 47
149 445 53
150 70 116
150 117 184
150 266 122
150 314 86
150 393 243
150 414 218
151 63 95
151 170 168
151 348 253
152 201 89
152 320 195
153 56 210
153 166 148
153 265 96
153 415 115
153 443 43
153 486 146
154 164 211
154 435 204
155 248 154
155 300 233
156 60 157
156 61 163
156 288 162
156 425 137
156 475 73
157 155 199
157 241 153
157 428 116
158 295 111
158 307 37
158 398 100
158 437 141
159 406 159
160 158 110
160 307 125
160 437 35
161 56 176
161 432 237
162 239 83
162 448 159
163 127 186
163 354 39
164 57 98
164 142 181
164 350 36
164 397 65
165 87 302
165 335 166
165 346 104
165 433 197
166 168 55
166 233 257
166 393 190
166 494 137
167 5 233
167 354 43
168 153 100
168 265 193
168 381 68
168 443 95
168 486 55
169 317 218
169 401 41
169 409 148
169 495 115
170 304 199
171 84 163
171 111 172
171 162 51
171 257 20
171 271 116
172 103 105
172 209 110
172 321 137
172 395 122
172 431 75
172 436 89
173 128 116
173 450 54
174 126 156
174 243 251
